😀	face-smiling/grinning-face
🧔🏼	person/person-medium-light-skin-tone-beard
🧔🏽	person/person-medium-skin-tone-beard
🧔🏾	person/person-medium-dark-skin-tone-beard
🧔🏿	person/person-dark-skin-tone-beard
🧔‍♂️	person/man-beard
🧔‍♂	person/man-beard
🧔🏻‍♂️	person/man-light-skin-tone-beard
🧔🏻‍♂	person/man-light-skin-tone-beard
🧔🏼‍♂️	person/man-medium-light-skin-tone-beard
🧔🏼‍♂	person/man-medium-light-skin-tone-beard
🧔🏽‍♂️	person/man-medium-skin-tone-beard
🧔🏽‍♂	person/man-medium-skin-tone-beard
🧔🏾‍♂️	person/man-medium-dark-skin-tone-beard
🧔🏾‍♂	person/man-medium-dark-skin-tone-beard
🧔🏿‍♂️	person/man-dark-skin-tone-beard
🧔🏿‍♂	person/man-dark-skin-tone-beard
🧔‍♀️	person/woman-beard
🧔‍♀	person/woman-beard
🧔🏻‍♀️	person/woman-light-skin-tone-beard
🧔🏻‍♀	person/woman-light-skin-tone-beard
🧔🏼‍♀️	person/woman-medium-light-skin-tone-beard
🧔🏼‍♀	person/woman-medium-light-skin-tone-beard
🧔🏽‍♀️	person/woman-medium-skin-tone-beard
🧔🏽‍♀	person/woman-medium-skin-tone-beard
🧔🏾‍♀️	person/woman-medium-dark-skin-tone-beard
🧔🏾‍♀	person/woman-medium-dark-skin-tone-beard
🧔🏿‍♀️	person/woman-dark-skin-tone-beard
🧔🏿‍♀	person/woman-dark-skin-tone-beard
👨‍🦰	person/man-red-hair
👨🏻‍🦰	person/man-light-skin-tone-red-hair
👨🏼‍🦰	person/man-medium-light-skin-tone-red-hair
👨🏽‍🦰	person/man-medium-skin-tone-red-hair
👨🏾‍🦰	person/man-medium-dark-skin-tone-red-hair
👨🏿‍🦰	person/man-dark-skin-tone-red-hair
👨‍🦱	person/man-curly-hair
👨🏻‍🦱	person/man-light-skin-tone-curly-hair
👨🏼‍🦱	person/man-medium-light-skin-tone-curly-hair
👨🏽‍🦱	person/man-medium-skin-tone-curly-hair
👨🏾‍🦱	person/man-medium-dark-skin-tone-curly-hair
👨🏿‍🦱	person/man-dark-skin-tone-curly-hair
👨‍🦳	person/man-white-hair
👨🏻‍🦳	person/man-light-skin-tone-white-hair
👨🏼‍🦳	person/man-medium-light-skin-tone-white-hair
👨🏽‍🦳	person/man-medium-skin-tone-white-hair
👨🏾‍🦳	person/man-medium-dark-skin-tone-white-hair
👨🏿‍🦳	person/man-dark-skin-tone-white-hair
👨‍🦲	person/man-bald
👨🏻‍🦲	person/man-light-skin-tone-bald
👨🏼‍🦲	person/man-medium-light-skin-tone-bald
👨🏽‍🦲	person/man-medium-skin-tone-bald
👨🏾‍🦲	person/man-medium-dark-skin-tone-bald
👨🏿‍🦲	person/man-dark-skin-tone-bald
👩	person/woman
👩🏻	person/woman-light-skin-tone
👩🏼	person/woman-medium-light-skin-tone
👩🏽	person/woman-medium-skin-tone
👩🏾	person/woman-medium-dark-skin-tone
👩🏿	person/woman-dark-skin-tone
👩‍🦰	person/woman-red-hair
👩🏻‍🦰	person/woman-light-skin-tone-red-hair
👩🏼‍🦰	person/woman-medium-light-skin-tone-red-hair
👩🏽‍🦰	person/woman-medium-skin-tone-red-hair
👩🏾‍🦰	person/woman-medium-dark-skin-tone-red-hair
👩🏿‍🦰	person/woman-dark-skin-tone-red-hair
🧑‍🦰	person/person-red-hair
🧑🏻‍🦰	person/person-light-skin-tone-red-hair
🧑🏼‍🦰	person/person-medium-light-skin-tone-red-hair
🧑🏽‍🦰	person/person-medium-skin-tone-red-hair
🧑🏾‍🦰	person/person-medium-dark-skin-tone-red-hair
🧑🏿‍🦰	person/person-dark-skin-tone-red-hair
👩‍🦱	person/woman-curly-hair
👩🏻‍🦱	person/woman-light-skin-tone-curly-hair
👩🏼‍🦱	person/woman-medium-light-skin-tone-curly-hair
👩🏽‍🦱	person/woman-medium-skin-tone-curly-hair
👩🏾‍🦱	person/woman-medium-dark-skin-tone-curly-hair
👩🏿‍🦱	person/woman-dark-skin-tone-curly-hair
🧑‍🦱	person/person-curly-hair
🧑🏻‍🦱	person/person-light-skin-tone-curly-hair
🧑🏼‍🦱	person/person-medium-light-skin-tone-curly-hair
🧑🏽‍🦱	person/person-medium-skin-tone-curly-hair
🧑🏾‍🦱	person/person-medium-dark-skin-tone-curly-hair
🧑🏿‍🦱	person/person-dark-skin-tone-curly-hair
👩‍🦳	person/woman-white-hair
👩🏻‍🦳	person/woman-light-skin-tone-white-hair
👩🏼‍🦳	person/woman-medium-light-skin-tone-white-hair
👩🏽‍🦳	person/woman-medium-skin-tone-white-hair
👩🏾‍🦳	person/woman-medium-dark-skin-tone-white-hair
👩🏿‍🦳	person/woman-dark-skin-tone-white-hair
🧑‍🦳	person/person-white-hair
🧑🏻‍🦳	person/person-light-skin-tone-white-hair
🧑🏼‍🦳	person/person-medium-light-skin-tone-white-hair
🧑🏽‍🦳	person/person-medium-skin-tone-white-hair
🧑🏾‍🦳	person/person-medium-dark-skin-tone-white-hair
🧑🏿‍🦳	person/person-dark-skin-tone-white-hair
👩‍🦲	person/woman-bald
👩🏻‍🦲	person/woman-light-skin-tone-bald
👩🏼‍🦲	person/woman-medium-light-skin-tone-bald
👩🏽‍🦲	person/woman-medium-skin-tone-bald
👩🏾‍🦲	person/woman-medium-dark-skin-tone-bald
👩🏿‍🦲	person/woman-dark-skin-tone-bald
🧑‍🦲	person/person-bald
🧑🏻‍🦲	person/person-light-skin-tone-bald
🧑🏼‍🦲	person/person-medium-light-skin-tone-bald
🧑🏽‍🦲	person/person-medium-skin-tone-bald
🧑🏾‍🦲	person/person-medium-dark-skin-tone-bald
🧑🏿‍🦲	person/person-dark-skin-tone-bald
👱‍♀️	person/woman-blond-hair
👱‍♀	person/woman-blond-hair
👱🏻‍♀️	person/woman-light-skin-tone-blond-hair
👱🏻‍♀	person/woman-light-skin-tone-blond-hair
👱🏼‍♀️	person/woman-medium-light-skin-tone-blond-hair
👱🏼‍♀	person/woman-medium-light-skin-tone-blond-hair
👱🏽‍♀️	person/woman-medium-skin-tone-blond-hair
👱🏽‍♀	person/woman-medium-skin-tone-blond-hair
👱🏾‍♀️	person/woman-medium-dark-skin-tone-blond-hair
👱🏾‍♀	person/woman-medium-dark-skin-tone-blond-hair
👱🏿‍♀️	person/woman-dark-skin-tone-blond-hair
👱🏿‍♀	person/woman-dark-skin-tone-blond-hair
👱‍♂️	person/man-blond-hair
👱‍♂	person/man-blond-hair
👱🏻‍♂️	person/man-light-skin-tone-blond-hair
👱🏻‍♂	person/man-light-skin-tone-blond-hair
👱🏼‍♂️	person/man-medium-light-skin-tone-blond-hair
👱🏼‍♂	person/man-medium-light-skin-tone-blond-hair
👱🏽‍♂️	person/man-medium-skin-tone-blond-hair
👱🏽‍♂	person/man-medium-skin-tone-blond-hair
👱🏾‍♂️	person/man-medium-dark-skin-tone-blond-hair
👱🏾‍♂	person/man-medium-dark-skin-tone-blond-hair
👱🏿‍♂️	person/man-dark-skin-tone-blond-hair
👱🏿‍♂	person/man-dark-skin-tone-blond-hair
🧓	person/older-person
🧓🏻	person/older-person-light-skin-tone
🧓🏼	person/older-person-medium-light-skin-tone
🧓🏽	person/older-person-medium-skin-tone
🧓🏾	person/older-person-medium-dark-skin-tone
🧓🏿	person/older-person-dark-skin-tone
👴	person/old-man
👴🏻	person/old-man-light-skin-tone
👴🏼	person/old-man-medium-light-skin-tone
👴🏽	person/old-man-medium-skin-tone
👴🏾	person/old-man-medium-dark-skin-tone
👴🏿	person/old-man-dark-skin-tone
👵	person/old-woman
👵🏻	person/old-woman-light-skin-tone
👵🏼	person/old-woman-medium-light-skin-tone
👵🏽	person/old-woman-medium-skin-tone
👵🏾	person/old-woman-medium-dark-skin-tone
👵🏿	person/old-woman-dark-skin-tone
🙍	person-gesture/person-frowning
🙍🏻	person-gesture/person-frowning-light-skin-tone
🙍🏼	person-gesture/person-frowning-medium-light-skin-tone
🙍🏽	person-gesture/person-frowning-medium-skin-tone
🙍🏾	person-gesture/person-frowning-medium-dark-skin-tone
🙍🏿	person-gesture/person-frowning-dark-skin-tone
🙍‍♂️	person-gesture/man-frowning
🙍‍♂	person-gesture/man-frowning
🙍🏻‍♂️	person-gesture/man-frowning-light-skin-tone
🙍🏻‍♂	person-gesture/man-frowning-light-skin-tone
🙍🏼‍♂️	person-gesture/man-frowning-medium-light-skin-tone
🙍🏼‍♂	person-gesture/man-frowning-medium-light-skin-tone
🙍🏽‍♂️	person-gesture/man-frowning-medium-skin-tone
🙍🏽‍♂	person-gesture/man-frowning-medium-skin-tone
🙍🏾‍♂️	person-gesture/man-frowning-medium-dark-skin-tone
🙍🏾‍♂	person-gesture/man-frowning-medium-dark-skin-tone
🙍🏿‍♂️	person-gesture/man-frowning-dark-skin-tone
🙍🏿‍♂	person-gesture/man-frowning-dark-skin-tone
🙍‍♀️	person-gesture/woman-frowning
🙍‍♀	person-gesture/woman-frowning
🙍🏻‍♀️	person-gesture/woman-frowning-light-skin-tone
🙍🏻‍♀	person-gesture/woman-frowning-light-skin-tone
🙍🏼‍♀️	person-gesture/woman-frowning-medium-light-skin-tone
🙍🏼‍♀	person-gesture/woman-frowning-medium-light-skin-tone
🙍🏽‍♀️	person-gesture/woman-frowning-medium-skin-tone
🙍🏽‍♀	person-gesture/woman-frowning-medium-skin-tone
🙍🏾‍♀️	person-gesture/woman-frowning-medium-dark-skin-tone
🙍🏾‍♀	person-gesture/woman-frowning-medium-dark-skin-tone
🙍🏿‍♀️	person-gesture/woman-frowning-dark-skin-tone
🙍🏿‍♀	person-gesture/woman-frowning-dark-skin-tone
🙎	person-gesture/person-pouting
🙎🏻	person-gesture/person-pouting-light-skin-tone
🙎🏼	person-gesture/person-pouting-medium-light-skin-tone
🙎🏽	person-gesture/person-pouting-medium-skin-tone
🙎🏾	person-gesture/person-pouting-medium-dark-skin-tone
🙎🏿	person-gesture/person-pouting-dark-skin-tone
🙎‍♂️	person-gesture/man-pouting
🙎‍♂	person-gesture/man-pouting
🙎🏻‍♂️	person-gesture/man-pouting-light-skin-tone
🙎🏻‍♂	person-gesture/man-pouting-light-skin-tone
🙎🏼‍♂️	person-gesture/man-pouting-medium-light-skin-tone
🙎🏼‍♂	person-gesture/man-pouting-medium-light-skin-tone
🙎🏽‍♂️	person-gesture/man-pouting-medium-skin-tone
🙎🏽‍♂	person-gesture/man-pouting-medium-skin-tone
🙎🏾‍♂️	person-gesture/man-pouting-medium-dark-skin-tone
🙎🏾‍♂	person-gesture/man-pouting-medium-dark-skin-tone
🙎🏿‍♂️	person-gesture/man-pouting-dark-skin-tone
🙎🏿‍♂	person-gesture/man-pouting-dark-skin-tone
🙎‍♀️	person-gesture/woman-pouting
🙎‍♀	person-gesture/woman-pouting
🙎🏻‍♀️	person-gesture/woman-pouting-light-skin-tone
🙎🏻‍♀	person-gesture/woman-pouting-light-skin-tone
🙎🏼‍♀️	person-gesture/woman-pouting-medium-light-skin-tone
🙎🏼‍♀	person-gesture/woman-pouting-medium-light-skin-tone
🙎🏽‍♀️	person-gesture/woman-pouting-medium-skin-tone
🙎🏽‍♀	person-gesture/woman-pouting-medium-skin-tone
🙎🏾‍♀️	person-gesture/woman-pouting-medium-dark-skin-tone
🙎🏾‍♀	person-gesture/woman-pouting-medium-dark-skin-tone
🙎🏿‍♀️	person-gesture/woman-pouting-dark-skin-tone
🙎🏿‍♀	person-gesture/woman-pouting-dark-skin-tone
🙅	person-gesture/person-gesturing-NO
🙅🏻	person-gesture/person-gesturing-NO-light-skin-tone
🙅🏼	person-gesture/person-gesturing-NO-medium-light-skin-tone
🙅🏽	person-gesture/person-gesturing-NO-medium-skin-tone
🙅🏾	person-gesture/person-gesturing-NO-medium-dark-skin-tone
🙅🏿	person-gesture/person-gesturing-NO-dark-skin-tone
🙅‍♂️	person-gesture/man-gesturing-NO
🙅‍♂	person-gesture/man-gesturing-NO
🙅🏻‍♂️	person-gesture/man-gesturing-NO-light-skin-tone
🙅🏻‍♂	person-gesture/man-gesturing-NO-light-skin-tone
🙅🏼‍♂️	person-gesture/man-gesturing-NO-medium-light-skin-tone
🙅🏼‍♂	person-gesture/man-gesturing-NO-medium-light-skin-tone
🙅🏽‍♂️	person-gesture/man-gesturing-NO-medium-skin-tone
🙅🏽‍♂	person-gesture/man-gesturing-NO-medium-skin-tone
🙅🏾‍♂️	person-gesture/man-gesturing-NO-medium-dark-skin-tone
🙅🏾‍♂	person-gesture/man-gesturing-NO-medium-dark-skin-tone
🙅🏿‍♂️	person-gesture/man-gesturing-NO-dark-skin-tone
🙅🏿‍♂	person-gesture/man-gesturing-NO-dark-skin-tone
🙅‍♀️	person-gesture/woman-gesturing-NO
🙅‍♀	person-gesture/woman-gesturing-NO
🙅🏻‍♀️	person-gesture/woman-gesturing-NO-light-skin-tone
🙅🏻‍♀	person-gesture/woman-gesturing-NO-light-skin-tone
🙅🏼‍♀️	person-gesture/woman-gesturing-NO-medium-light-skin-tone
🙅🏼‍♀	person-gesture/woman-gesturing-NO-medium-light-skin-tone
🙅🏽‍♀️	person-gesture/woman-gesturing-NO-medium-skin-tone
🙅🏽‍♀	person-gesture/woman-gesturing-NO-medium-skin-tone
🙅🏾‍♀️	person-gesture/woman-gesturing-NO-medium-dark-skin-tone
🙅🏾‍♀	person-gesture/woman-gesturing-NO-medium-dark-skin-tone
🙅🏿‍♀️	person-gesture/woman-gesturing-NO-dark-skin-tone
🙅🏿‍♀	person-gesture/woman-gesturing-NO-dark-skin-tone
🙆	person-gesture/person-gesturing-OK
🙆🏻	person-gesture/person-gesturing-OK-light-skin-tone
🙆🏼	person-gesture/person-gesturing-OK-medium-light-skin-tone
🙆🏽	person-gesture/person-gesturing-OK-medium-skin-tone
🙆🏾	person-gesture/person-gesturing-OK-medium-dark-skin-tone
🙆🏿	person-gesture/person-gesturing-OK-dark-skin-tone
🙆‍♂️	person-gesture/man-gesturing-OK
🙆‍♂	person-gesture/man-gesturing-OK
🙆🏻‍♂️	person-gesture/man-gesturing-OK-light-skin-tone
🙆🏻‍♂	person-gesture/man-gesturing-OK-light-skin-tone
🙆🏼‍♂️	person-gesture/man-gesturing-OK-medium-light-skin-tone
🙆🏼‍♂	person-gesture/man-gesturing-OK-medium-light-skin-tone
🙆🏽‍♂️	person-gesture/man-gesturing-OK-medium-skin-tone
🙆🏽‍♂	person-gesture/man-gesturing-OK-medium-skin-tone
🙆🏾‍♂️	person-gesture/man-gesturing-OK-medium-dark-skin-tone
🙆🏾‍♂	person-gesture/man-gesturing-OK-medium-dark-skin-tone
🙆🏿‍♂️	person-gesture/man-gesturing-OK-dark-skin-tone
🙆🏿‍♂	person-gesture/man-gesturing-OK-dark-skin-tone
🙆‍♀️	person-gesture/woman-gesturing-OK
🙆‍♀	person-gesture/woman-gesturing-OK
🙆🏻‍♀️	person-gesture/woman-gesturing-OK-light-skin-tone
🙆🏻‍♀	person-gesture/woman-gesturing-OK-light-skin-tone
🙆🏼‍♀️	person-gesture/woman-gesturing-OK-medium-light-skin-tone
🙆🏼‍♀	person-gesture/woman-gesturing-OK-medium-light-skin-tone
🙆🏽‍♀️	person-gesture/woman-gesturing-OK-medium-skin-tone
🙆🏽‍♀	person-gesture/woman-gesturing-OK-medium-skin-tone
🙆🏾‍♀️	person-gesture/woman-gesturing-OK-medium-dark-skin-tone
🙆🏾‍♀	person-gesture/woman-gesturing-OK-medium-dark-skin-tone
🙆🏿‍♀️	person-gesture/woman-gesturing-OK-dark-skin-tone
🙆🏿‍♀	person-gesture/woman-gesturing-OK-dark-skin-tone
💁	person-gesture/person-tipping-hand
💁🏻	person-gesture/person-tipping-hand-light-skin-tone
💁🏼	person-gesture/person-tipping-hand-medium-light-skin-tone
💁🏽	person-gesture/person-tipping-hand-medium-skin-tone
💁🏾	person-gesture/person-tipping-hand-medium-dark-skin-tone
💁🏿	person-gesture/person-tipping-hand-dark-skin-tone
💁‍♂️	person-gesture/man-tipping-hand
💁‍♂	person-gesture/man-tipping-hand
💁🏻‍♂️	person-gesture/man-tipping-hand-light-skin-tone
💁🏻‍♂	person-gesture/man-tipping-hand-light-skin-tone
💁🏼‍♂️	person-gesture/man-tipping-hand-medium-light-skin-tone
💁🏼‍♂	person-gesture/man-tipping-hand-medium-light-skin-tone
💁🏽‍♂️	person-gesture/man-tipping-hand-medium-skin-tone
💁🏽‍♂	person-gesture/man-tipping-hand-medium-skin-tone
💁🏾‍♂️	person-gesture/man-tipping-hand-medium-dark-skin-tone
💁🏾‍♂	person-gesture/man-tipping-hand-medium-dark-skin-tone
💁🏿‍♂️	person-gesture/man-tipping-hand-dark-skin-tone
💁🏿‍♂	person-gesture/man-tipping-hand-dark-skin-tone
💁‍♀️	person-gesture/woman-tipping-hand
💁‍♀	person-gesture/woman-tipping-hand
💁🏻‍♀️	person-gesture/woman-tipping-hand-light-skin-tone
💁🏻‍♀	person-gesture/woman-tipping-hand-light-skin-tone
💁🏼‍♀️	person-gesture/woman-tipping-hand-medium-light-skin-tone
💁🏼‍♀	person-gesture/woman-tipping-hand-medium-light-skin-tone
💁🏽‍♀️	person-gesture/woman-tipping-hand-medium-skin-tone
💁🏽‍♀	person-gesture/woman-tipping-hand-medium-skin-tone
💁🏾‍♀️	person-gesture/woman-tipping-hand-medium-dark-skin-tone
💁🏾‍♀	person-gesture/woman-tipping-hand-medium-dark-skin-tone
💁🏿‍♀️	person-gesture/woman-tipping-hand-dark-skin-tone
💁🏿‍♀	person-gesture/woman-tipping-hand-dark-skin-tone
🙋	person-gesture/person-raising-hand
🙋🏻	person-gesture/person-raising-hand-light-skin-tone
🙋🏼	person-gesture/person-raising-hand-medium-light-skin-tone
🙋🏽	person-gesture/person-raising-hand-medium-skin-tone
🙋🏾	person-gesture/person-raising-hand-medium-dark-skin-tone
🙋🏿	person-gesture/person-raising-hand-dark-skin-tone
🙋‍♂️	person-gesture/man-raising-hand
🙋‍♂	person-gesture/man-raising-hand
🙋🏻‍♂️	person-gesture/man-raising-hand-light-skin-tone
🙋🏻‍♂	person-gesture/man-raising-hand-light-skin-tone
🙋🏼‍♂️	person-gesture/man-raising-hand-medium-light-skin-tone
🙋🏼‍♂	person-gesture/man-raising-hand-medium-light-skin-tone
🙋🏽‍♂️	person-gesture/man-raising-hand-medium-skin-tone
🙋🏽‍♂	person-gesture/man-raising-hand-medium-skin-tone
🙋🏾‍♂️	person-gesture/man-raising-hand-medium-dark-skin-tone
🙋🏾‍♂	person-gesture/man-raising-hand-medium-dark-skin-tone
🙋🏿‍♂️	person-gesture/man-raising-hand-dark-skin-tone
🙋🏿‍♂	person-gesture/man-raising-hand-dark-skin-tone
🙋‍♀️	person-gesture/woman-raising-hand
🙋‍♀	person-gesture/woman-raising-hand
🙋🏻‍♀️	person-gesture/woman-raising-hand-light-skin-tone
🙋🏻‍♀	person-gesture/woman-raising-hand-light-skin-tone
🙋🏼‍♀️	person-gesture/woman-raising-hand-medium-light-skin-tone
🙋🏼‍♀	person-gesture/woman-raising-hand-medium-light-skin-tone
🙋🏽‍♀️	person-gesture/woman-raising-hand-medium-skin-tone
🙋🏽‍♀	person-gesture/woman-raising-hand-medium-skin-tone
🙋🏾‍♀️	person-gesture/woman-raising-hand-medium-dark-skin-tone
🙋🏾‍♀	person-gesture/woman-raising-hand-medium-dark-skin-tone
🙋🏿‍♀️	person-gesture/woman-raising-hand-dark-skin-tone
🙋🏿‍♀	person-gesture/woman-raising-hand-dark-skin-tone
